"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"61","Xavier Legette","CAR","WR","16","2024","391","0.051","1.26","0.21","13.3","11.8","1.5","0.0","9.7","82","49","497","4","1055","7.3","270","0.026","1.17","0.21","12.2","","","","","0.0","","","","","0.0","","","","","0.0"
"62","Nick Westbrook-Ikhine","TEN","WR","17","2024","390","0.010","1.25","0.14","9.7","7.9","1.3","0.5","11.0","56","32","497","9","709","8.6","312","0.026","1.21","0.13","11.9","","","","","0.0","","","","","0.0","","","","","0.0"
"63","Jauan Jennings","SF","WR","15","2024","389","0.093","2.47","0.27","19.0","17.2","1.8","0.0","11.6","108","77","975","6","1126","8.2","227","0.084","2.33","0.26","18.9","","","","","0.0","","","","","0.0","","","","","0.0"
"64","Jonnu Smith","MIA","TE","17","2024","388","-0.031","2.23","0.28","2.8","2.8","0.0","0.0","5.9","109","88","884","8","533","3.8","97","-0.062","2.15","0.22","3.1","","","","","0.0","103","-0.010","2.50","0.32","1.0","11","0.000","1.55","0.55","0.0"
"65","George Kittle","SF","TE","15","2024","375","0.003","2.88","0.24","9.9","8.5","1.3","0.0","10.9","92","78","1106","8","811","6.0","41","0.073","2.39","0.20","22.0","","","","","0.0","201","0.010","3.34","0.26","7.5","3","0.000","1.00","0.67","0.0"
"66","Cade Otton","TB","TE","14","2024","375","0.029","1.55","0.22","8.0","7.5","0.5","0.0","5.3","84","59","600","4","478","4.5","63","0.016","0.89","0.08","9.5","","","","","0.0","193","0.000","1.90","0.28","5.7","","","","","0.0"
"67","Juwan Johnson","NO","TE","17","2024","374","0.045","1.44","0.17","9.1","8.3","0.8","0.0","5.3","65","50","548","3","532","6.7","68","0.103","1.13","0.16","14.7","","","","","0.0","144","0.035","1.85","0.18","6.3","1","0.000","","","0.0"
"68","Mike Evans","TB","WR","14","2024","370","0.203","2.66","0.28","23.0","19.2","3.2","0.5","7.0","106","74","1004","11","1306","8.3","257","0.222","2.74","0.29","24.5","","","","","0.0","","","","","0.0","","","","","0.0"
"69","Jahan Dotson","PHI","WR","17","2024","368","0.022","0.57","0.08","9.8","9.2","0.5","0.0","7.6","31","19","216","0","314","7.9","255","0.043","0.76","0.10","11.8","","","","","0.0","1","0.000","","","0.0","","","","","0.0"
"70","Josh Palmer","LAC","WR","15","2024","364","0.132","1.58","0.17","19.8","17.3","1.9","0.5","9.6","61","39","584","1","952","9.2","247","0.117","1.66","0.17","19.8","","","","","0.0","","","","","0.0","","","","","0.0"
"71","Tucker Kraft","GB","TE","17","2024","363","0.000","1.90","0.17","4.4","4.1","0.3","0.0","4.7","65","50","707","7","324","4.7","43","0.000","0.27","0.04","9.3","","","","","0.0","200","-0.005","2.59","0.22","3.5","1","0.000","","","0.0"
"72","David Njoku","CLV","TE","11","2024","363","-0.011","1.38","0.25","4.4","3.9","0.3","0.3","6.1","93","64","505","5","512","3.3","50","0.000","0.71","0.20","6.0","","","","","0.0","202","0.025","1.54","0.26","4.0","1","0.000","","","0.0"
"73","Allen Lazard","NYJ","WR","12","2024","361","0.025","1.44","0.17","10.8","9.7","0.8","0.3","9.7","61","37","530","6","679","6.4","217","0.018","1.05","0.14","10.1","","","","","0.0","4","0.250","","0.20","25.0","","","","","0.0"
"74","Quentin Johnston","LAC","WR","15","2024","359","0.014","1.92","0.24","15.9","14.8","1.1","0.0","15.3","87","55","711","8","984","7.4","319","0.022","2.04","0.24","16.9","","","","","0.0","","","","","0.0","","","","","0.0"
"75","De'Von Achane","MIA","RB","17","2024","357","0.008","1.64","0.24","1.7","1.7","0.0","0.0","0.8","85","78","592","6","-39","-1.5","49","-0.020","1.82","0.24","4.1","","","","","0.0","2","0.000","","","0.0","217","0.009","1.50","0.21","0.9"
"76","Jayden Reed","GB","WR","17","2024","354","0.076","2.37","0.21","13.3","11.3","1.7","0.3","7.9","75","55","857","6","635","6.4","68","0.103","1.59","0.17","17.6","","","","","0.0","3","1.000","18.67","0.67","33.3","13","-0.077","4.15","0.54","0.0"
"77","Noah Fant","SEA","TE","14","2024","352","-0.028","1.39","0.17","4.0","3.7","0.3","0.0","7.1","62","48","500","1","361","5.8","52","-0.058","0.92","0.09","3.8","","","","","0.0","102","-0.020","1.92","0.24","2.9","10","0.000","3.50","0.40","0.0"
"78","DeVonta Smith","PHI","WR","13","2024","350","0.131","2.29","0.23","20.0","15.7","4.0","0.3","11.1","84","68","833","8","836","7.9","152","0.211","2.92","0.29","26.3","","","","","0.0","1","-1.000","","","0.0","","","","","0.0"
"79","Chig Okonkwo","TEN","TE","17","2024","348","-0.009","1.35","0.19","5.2","4.6","0.6","0.0","6.3","67","52","479","2","377","5.0","65","0.000","0.30","0.13","7.7","","","","","0.0","125","-0.024","1.65","0.22","4.0","6","-0.167","","0.17","0.0"
"80","Jake Ferguson","DAL","TE","14","2024","348","-0.029","1.40","0.23","5.5","5.5","0.0","0.0","8.0","82","59","494","0","355","4.7","35","-0.029","0.91","0.17","2.9","","","","","0.0","111","-0.009","2.11","0.38","5.4","4","0.000","","","0.0"
"81","Khalil Shakir","BUF","WR","15","2024","347","0.040","2.27","0.27","7.8","7.2","0.6","0.0","4.3","97","76","821","4","540","4.4","88","0.000","2.87","0.36","3.4","","","","","0.0","2","0.000","1.50","0.50","0.0","3","0.000","","","0.0"
