"","","Player Details","","","","","Projection"
"#","NAME","POS","POS","SEASON","WEEK","OPP","FPTS"
"370","Elijah Higgins","TE","ARZ","2026","2","SEA","1.1"
"371","Charlie Woerner","TE","ATL","2026","2","CAR","1.1"
"372","Dohnte Meyers","WR","CIN","2026","2","HST","1.0"
"373","Jonathan Mingo","WR","DAL","2026","2","WAS","1.0"
"374","Hunter Long","TE","ARZ","2026","2","SEA","1.0"
"375","Quintin Morris","TE","JAX","2026","2","DEN","1.0"
"376","Isaiah Davis","RB","NYJ","2026","2","GB","1.0"
"377","Ben Skowronek","WR","PIT","2026","2","NE","1.0"
"378","Nate Adkins","TE","DEN","2026","2","JAX","0.9"
"379","LeQuint Allen Jr.","RB","JAX","2026","2","DEN","0.9"
"380","Lil'Jordan Humphrey","WR","DEN","2026","2","JAX","0.9"
"381","Brycen Tremayne","WR","CAR","2026","2","ATL","0.9"
"382","Kevin Austin Jr.","WR","NO","2026","2","BLT","0.8"
"383","Johnny Mundt","TE","PHI","2026","2","TEN","0.8"
"384","Braxton Berrios","WR","NYG","2026","2","LA","0.8"
"385","Chimere Dike","WR","TEN","2026","2","PHI","0.8"
"386","Brady Russell","RB","SEA","2026","2","ARZ","0.8"
"387","Eric Saubert","TE","SEA","2026","2","ARZ","0.7"
"388","Tory Horton","WR","SEA","2026","2","ARZ","0.7"
"389","Jacob Cowing","WR","SF","2026","2","MIA","0.7"
"390","Jelani Woods","TE","NYJ","2026","2","GB","0.7"
"391","Sam Roush","TE","CHI","2026","2","MIN","0.7"
"392","Jackson Hawes","TE","BUF","2026","2","DET","0.7"
"393","Skyy Moore","WR","GB","2026","2","NYJ","0.7"
"394","Ollie Gordon II","RB","MIA","2026","2","SF","0.7"
"395","Tim Patrick","WR","NYJ","2026","2","GB","0.7"
"396","Ronnie Rivers","RB","LA","2026","2","NYG","0.7"
"397","Oscar Delp","TE","NO","2026","2","BLT","0.7"
"398","Bam Knight","RB","ARZ","2026","2","SEA","0.6"
"399","Chris Manhertz","TE","NYG","2026","2","LA","0.6"
"400","Jake Briningstool","TE","KC","2026","2","IND","0.6"
"401","DJ Herman","RB","MIA","2026","2","SF","0.6"
"402","Barion Brown","WR","NO","2026","2","BLT","0.6"
"403","Tom Kennedy","WR","DET","2026","2","BUF","0.6"
"404","Colson Yankoff","TE","WAS","2026","2","DAL","0.6"
"405","CJ Donaldson","RB","NO","2026","2","BLT","0.6"
"406","Isaiah Bond","WR","CLV","2026","2","TB","0.6"
"407","Andrew Ogletree","TE","IND","2026","2","KC","0.6"
"408","Alec Ingold","RB","LAC","2026","2","LV","0.6"
"409","Lewis Bond","WR","HST","2026","2","CIN","0.5"
"410","Patrick Ricard","RB","NYG","2026","2","LA","0.5"
"411","Brashard Smith","RB","KC","2026","2","IND","0.5"
"412","Ameer Abdullah","RB","JAX","2026","2","DEN","0.5"
"413","Adam Prentice","RB","DEN","2026","2","JAX","0.5"
"414","Jordan Watkins","WR","SF","2026","2","MIA","0.5"
"415","Zavion Thomas","WR","CHI","2026","2","MIN","0.5"
"416","Jacob Saylors","RB","DET","2026","2","BUF","0.5"
"417","Deion Burks","WR","IND","2026","2","KC","0.4"
"418","Travis Homer","RB","PIT","2026","2","NE","0.4"
"419","Tay Martin","WR","DET","2026","2","BUF","0.4"
"420","Jalen Brooks","WR","ARZ","2026","2","SEA","0.4"
"421","Kaleb Johnson","RB","GB","2026","2","NYJ","0.4"
"422","Myles Price","WR","MIN","2026","2","CHI","0.4"
"423","Josh Whyle","TE","GB","2026","2","NYJ","0.4"
"424","Marlin Klein","TE","HST","2026","2","CIN","0.4"
"425","Efton Chism III","WR","NE","2026","2","PIT","0.4"
"426","Andrew Beck","RB","NYJ","2026","2","GB","0.4"
"427","Tyler Conklin","TE","DET","2026","2","BUF","0.4"
