"","","Player Details","","","","","Projection"
"#","NAME","POS","POS","SEASON","WEEK","OPP","FPTS"
"382","Jackson Hawes","TE","BUF","2026","2","DET","0.9"
"383","Ollie Gordon II","RB","MIA","2026","2","SF","0.9"
"384","Kevin Austin Jr.","WR","NO","2026","2","BLT","0.9"
"385","Johnny Mundt","TE","PHI","2026","2","TEN","0.8"
"386","Eric Saubert","TE","SEA","2026","2","ARZ","0.8"
"387","Ronnie Rivers","RB","LA","2026","2","NYG","0.8"
"388","Sam Roush","TE","CHI","2026","2","MIN","0.8"
"389","Devontez Walker","WR","BLT","2026","2","NO","0.8"
"390","Germie Bernard","WR","PIT","2026","2","NE","0.8"
"391","Patrick Ricard","RB","NYG","2026","2","LA","0.8"
"392","Chimere Dike","WR","TEN","2026","2","PHI","0.8"
"393","Jelani Woods","TE","NYJ","2026","2","GB","0.7"
"394","Chris Manhertz","TE","NYG","2026","2","LA","0.7"
"395","Tim Patrick","WR","NYJ","2026","2","GB","0.7"
"396","Skyy Moore","WR","GB","2026","2","NYJ","0.7"
"397","Barion Brown","WR","NO","2026","2","BLT","0.6"
"398","Jake Briningstool","TE","KC","2026","2","IND","0.6"
"399","Tom Kennedy","WR","DET","2026","2","BUF","0.6"
"400","DJ Herman","RB","MIA","2026","2","SF","0.6"
"401","Colson Yankoff","TE","WAS","2026","2","DAL","0.6"
"402","Kimani Vidal","RB","LAC","2026","2","LV","0.6"
"403","Darius Cooper","WR","PHI","2026","2","TEN","0.6"
"404","Isaiah Bond","WR","CLV","2026","2","TB","0.6"
"405","LeQuint Allen Jr.","RB","JAX","2026","2","DEN","0.6"
"406","Andrew Ogletree","TE","IND","2026","2","KC","0.5"
"407","Brashard Smith","RB","KC","2026","2","IND","0.5"
"408","Jonah Coleman","RB","DEN","2026","2","JAX","0.5"
"409","Jacob Saylors","RB","DET","2026","2","BUF","0.5"
"410","Treyton Welch","TE","NO","2026","2","BLT","0.5"
"411","Josh Whyle","TE","GB","2026","2","NYJ","0.5"
"412","Jalen Brooks","WR","ARZ","2026","2","SEA","0.4"
"413","Ian Thomas","TE","LV","2026","2","LAC","0.4"
"414","Tai Felton","WR","MIN","2026","2","CHI","0.4"
"415","Payne Durham","TE","TB","2026","2","CLV","0.4"
"416","Tay Martin","WR","DET","2026","2","BUF","0.4"
"417","Dareke Young","WR","LV","2026","2","LAC","0.4"
"418","Adam Prentice","RB","DEN","2026","2","JAX","0.4"
"419","Brayden Willis","TE","SF","2026","2","MIA","0.4"
"420","Tyler Conklin","TE","DET","2026","2","BUF","0.4"
"421","Marlin Klein","TE","HST","2026","2","CIN","0.4"
"422","Andrew Beck","RB","NYJ","2026","2","GB","0.4"
"423","Tahj Brooks","RB","CIN","2026","2","HST","0.4"
"424","Chris Blair","WR","ATL","2026","2","CAR","0.3"
"425","Chris Myarick","TE","LV","2026","2","LAC","0.3"
"426","Greg Dortch","WR","BUF","2026","2","DET","0.3"
"427","Tylan Wallace","WR","CLV","2026","2","TB","0.3"
