,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Cover 2,Cover 2,Cover 2,Cover 3,Cover 3,Cover 3,Cover 4,Cover 4,Cover 4,Cover 6,Cover 6,Cover 6
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,SEP MS,ADOR,TGT %,+1 Rate,+2 Rate,+3 Rate,Neg Rate,TGT,REC,YDS,TD,AY,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE
2026,52,Luther Burden,CHI,WR,1,2,MIN,96.29629629629629,100,26,0.038,1.23,0.27,7.7,28.6,9.4,20,7.7,0,0,3.8,7,3,32,0,80,2,0.5,0,0.5,50,20,0.05,1.6,0.3,5,4,-0.25,0,0,0,3,0,0,13,0.077,7.7,1,0,0,3,0,0
2026,53,Malachi Fields,NYG,WR,1,2,LA,100,100,26,0.077,1.15,0.23,15.4,20,5.9,18.8,11.5,3.8,0,11.5,6,2,30,0,132,10,0.3,1.4,0.2,30,16,-0.062,1,0.25,6.3,0,0,0,0,0,2,0,0,4,0,0,9,-0.111,11.1,1,0,0
2026,54,Bryce Lance,NO,WR,1,2,BLT,96.29629629629629,100,26,0.038,0.31,0.04,7.7,28.6,7.7,2.9,7.7,0,0,3.8,1,1,8,0,8,6,0,0,0,16.7,20,0.05,0.4,0.05,5,0,0,0,0,0,8,0,0,5,0,0,6,0,0,1,1,100
2026,55,KC Concepcion,CLV,WR,1,2,TB,100,100,26,0.192,1.08,0.23,15.4,28.6,7.1,20,7.7,7.7,0,3.8,6,6,28,0,9,9,0.444,1.44,0.44,33.3,17,0.059,0.88,0.12,5.9,0,0,0,0,0,5,0.4,20,9,0,0,3,-0.333,0,0,0,0
2026,56,Mark Andrews,BLT,TE,1,2,NO,100,100,25,0.2,1.96,0.28,20,27.8,6.9,22.6,20,0,0,0,7,6,49,0,45,4,0.75,3,0.75,75,21,0.095,1.76,0.19,9.5,0,0,0,0,0,0,0,0,16,0,0,2,0,0,3,0.667,66.7
2026,57,Pat Freiermuth,PIT,TE,1,2,NE,96.15384615384616,100,25,-0.04,1.28,0.2,8,18.2,4,12.5,8,0,0,12,5,4,32,0,45,15,0,1.53,0.2,13.3,10,-0.1,0.9,0.2,0,0,0,0,0,0,3,-0.333,0,3,0,0,3,0,0,1,0,0
2026,58,Brenton Strange,JAX,TE,1,2,DEN,100,100,25,0,0.68,0.08,4,6.7,5.4,6.9,4,0,0,4,2,2,17,0,17,13,0.077,1.08,0.08,7.7,11,-0.091,0.27,0.09,0,1,0,0,0,0,2,0,0,2,0,0,3,0,0,4,-0.25,0
2026,59,Keon Coleman,BUF,WR,1,2,DET,96.15384615384616,100,25,0.08,2.52,0.24,16,40,9.6,19.4,16,0,0,8,6,6,63,0,46,3,0,1.33,0.33,0,22,0.091,2.68,0.23,18.2,0,0,0,0,0,5,0.2,20,12,-0.083,8.3,2,0.5,50,3,0.333,33.3
2026,60,Tyler Warren,IND,TE,1,2,KC,100,100,25,-0.12,0.84,0.28,4,4.8,3.2,22.6,4,0,0,16,7,6,21,1,-7,13,-0.154,0.46,0.31,7.7,12,-0.083,1.25,0.25,0,0,0,0,0,0,2,0,0,6,-0.167,0,2,0,0,2,0,0
2026,61,Harold Fannin,CLV,TE,1,2,TB,96.15384615384616,100,25,0.12,2.16,0.24,12,21.4,4.7,20,12,0,0,0,6,5,54,0,24,9,0.333,0,0,33.3,16,0,3.38,0.38,0,0,0,0,0,0,4,0,0,9,0,0,3,0,0,0,0,0
2026,62,Laquon Treadwell,IND,WR,1,2,KC,100,100,24,0.167,2.54,0.13,29.2,33.3,4.6,9.7,25,4.2,0,16.7,3,3,61,0,54,12,0.333,0.25,0.08,50,12,0,4.83,0.17,8.3,0,0,0,0,0,2,-0.5,0,5,0.2,20,3,0,0,2,0,0
2026,63,Dyami Brown,WAS,WR,1,2,DAL,100,100,24,0.042,0.88,0.25,12.5,15.8,9.7,17.1,12.5,0,0,8.3,6,4,21,0,54,4,-0.25,4.5,0.5,25,19,0.105,0.16,0.21,10.5,1,0,0,0,0,0,0,0,7,0,0,5,0.2,20,7,0.143,14.3
2026,64,Dalton Kincaid,BUF,TE,1,2,DET,96,100,24,0.042,3.96,0.33,8.3,20,5.3,25.8,8.3,0,0,4.2,8,7,95,1,76,2,0,0,0,0,21,0.048,4.52,0.38,9.5,1,0,0,0,0,3,0.333,33.3,14,-0.071,0,2,0.5,50,2,0,0
2026,65,Tucker Kraft,GB,TE,1,2,NYJ,100,100,24,-0.083,0.63,0.13,0,0,2.6,10.3,0,0,0,8.3,3,2,15,0,9,7,-0.286,0,0,0,16,0,0.94,0.19,0,1,0,0,0,0,11,0,0,3,0,0,2,0,0,0,0,0
2026,66,Michael Mayer,LV,TE,1,2,LAC,100,100,24,0.083,0.96,0.17,8.3,25,3.6,13.8,8.3,0,0,0,4,3,23,0,16,4,0.25,0,0,25,18,0.056,1.28,0.22,5.6,2,0,0,0,0,5,0,0,7,0.143,14.3,2,0,0,4,0,0
2026,67,Xavier Legette,CAR,WR,1,2,ATL,100,100,24,0,2.67,0.13,16.7,18.2,7.8,8.3,12.5,4.2,0,20.8,3,2,64,0,80,6,-0.5,0,0,0,17,0.235,3.76,0.18,23.5,1,-1,0,0,0,2,0.5,50,12,0.25,25,3,0,0,0,0,0
2026,68,Davante Adams,LA,WR,1,2,NYG,95.83333333333334,100,23,0.304,8.48,0.43,21.7,38.5,9.2,32.3,8.7,8.7,4.3,8.7,10,8,195,2,199,6,0.5,9,0.5,33.3,15,0.267,9.4,0.47,20,2,0,0,0,0,2,0,0,9,0,11.1,1,0,0,3,1.333,66.7
2026,69,Kendrick Bourne,ARZ,WR,1,2,SEA,100,100,23,0.087,0.48,0.13,8.7,22.2,7.1,10.7,8.7,0,0,0,3,2,11,0,7,1,0,8,1,0,21,0.095,0.14,0.1,9.5,1,0,0,0,0,6,0,0,8,0.125,12.5,3,0.333,33.3,4,0,0
2026,70,Justin Jefferson,MIN,WR,1,2,CHI,100,100,23,0.087,2.39,0.26,26.1,60,9.1,30,21.7,4.3,0,21.7,6,3,55,0,98,10,-0.1,3,0.1,20,13,0.231,1.92,0.38,30.8,0,0,0,0,0,2,-0.5,0,8,0.625,50,2,-0.5,0,1,0,0
