,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,PERS,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2026,48,Ashton Jeanty,LV,RB,1,11,21.73913043478261,75,5,55.6,0,24,4.8,0,0.01,0,1,20,15,62.5,0,0,20,40,1.6,3,20,1.8,37.5,0,0,-0.189,-0.9,3,60,5,0,1.67,0,2,40,19,0,9.5,50,2.4,2.3,2.4,2.29,0.11
2026,49,Chris Brooks,GB,RB,1,13,42.857142857142854,40,3,50,0,22,7.33,0,0.02,0,1,33.3,14,63.6,0,0,33.3,33.3,7.5,4,0,3.33,45.5,0,0,0.382,1.1,0,0,0,0,0,0,3,100,22,0,7.33,33.3,2.2,1.6,2.2,1.55,0.65
2026,50,Braelon Allen,NYJ,RB,1,22,40,87.5,4,80,0,21,5.25,0,0.02,0,2,0,0,0,0,0,75,0,4.3,3.25,0,2,38.1,0,0,-0.116,-0.5,2,50,8,0,4,100,2,50,13,0,6.5,50,2.1,1.8,2.1,1.78,0.32
2026,51,Ameer Abdullah,JAX,RB,1,12,75,13.6,3,21.4,0,20,6.67,0,0.04,0,1,33.3,11,55,0,0,66.7,33.3,8.4,4.33,33.3,2.33,35,0,0,0.246,0.7,1,33.3,9,0,9,100,2,66.7,11,0,5.5,50,2,1.4,2,1.4,0.6
2026,52,Aaron Jones,MIN,RB,1,12,41.66666666666667,66.7,5,71.4,0,20,4,0,0.04,0,0,0,0,0,0,0,40,40,-2,2,40,2,50,0,0,-0.362,-1.8,2,40,6,0,3,50,3,60,14,0,4.67,33.3,2,2.4,2,2.43,-0.43
2026,53,Kendre Miller,NO,RB,1,11,55.55555555555556,19,5,35.7,0,20,4,1,0.13,0,2,0,0,0,0,20,60,40,1.7,3,40,1,25,1,0.2,0.42,2.1,4,80,12,1,3,50,1,20,8,0,8,100,8,2.6,8,2.6,5.4
2026,54,Cam Skattebo,NYG,RB,1,11,11.11111111111111,31.8,2,33.3,0,20,10,0,0,0,1,50,13,65,0,0,100,0,10.5,7,0,3,30,1,0.5,0.778,1.6,1,50,7,0,7,100,1,50,13,0,13,100,2,1,2,0.97,1.03
2026,55,J.K. Dobbins,DEN,RB,1,13,25,75,2,100,0,19,9.5,0,0,0,1,50,17,89.5,0,0,50,50,10.1,0,50,9.5,100,1,0.5,0.412,0.8,0,0,0,0,0,0,2,100,19,0,9.5,50,1.9,0.9,1.9,0.9,1
2026,56,Jordan Mason,MIN,RB,1,11,33.33333333333333,44,5,83.3,0,19,3.8,0,0.02,0,0,0,0,0,0,0,60,40,-4.2,1.6,40,2.2,57.9,0,0,-0.111,-0.6,3,60,14,0,4.67,66.7,2,40,5,0,2.5,50,1.9,2.4,1.9,2.41,-0.51
2026,57,Chase Brown,CIN,RB,1,11,43.75,76.9,7,58.3,0,19,2.71,0,0.4,0,1,16.7,13,68.4,100,0,42.9,71.4,-11.4,-0.71,57.1,3.43,126.3,3,0.43,-0.333,-2.3,3,42.9,9,0,3,66.7,4,57.1,10,0,2.5,25,1.9,5.4,1.9,5.43,-3.53
2026,58,Jacory Croskey-Merritt,WAS,RB,1,12,25,45.5,4,57.1,0,19,4.75,0,0.01,0,1,25,11,57.9,0,0,25,75,1.9,2.5,25,2.25,47.4,1,0.25,-0.005,0,4,100,19,0,4.75,25,0,0,0,0,0,0,1.9,1.8,1.9,1.75,0.15
2026,59,David Montgomery,HST,RB,1,13,50,86.7,10,76.9,0,18,1.8,0,0.16,0,2,0,0,0,100,0,50,60,-16.4,0.4,70,1.4,77.8,2,0.2,-0.113,-1.1,7,70,9,0,1.29,42.9,3,30,9,0,3,66.7,1.8,4.4,1.8,4.38,-2.58
