,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR
2024,61,Jake Ferguson,DAL,TE,1,3,BLT,26.666666666666668,29.411764705882355,40,0.25,2.38,0.39,13,0.31,1.77,0.33,27,0.22,2.67,0.41,18,0.28,2.61,0.43,22,0.23,2.18,0.35
2024,62,Zay Flowers,BLT,WR,1,5,CIN,22.099447513812155,25.53191489361702,40,0.3,2.77,0.45,10,0.2,2.6,0.36,28,0.36,3.04,0.52,21,0.38,4.19,0.7,19,0.21,1.21,0.17
2024,63,Sam LaPorta,DET,TE,1,2,TB,36.03603603603604,14.285714285714285,40,0.05,0.33,0.08,4,0,0,0,35,0.06,0.37,0.09,27,0.04,0.22,0.06,13,0.08,0.54,0.13
2024,64,Rome Odunze,CHI,WR,1,2,HST,22.22222222222222,16.666666666666664,40,0.13,0.82,0.13,13,0,0,0,25,0.16,1.32,0.21,29,0,0,0,11,0.45,3,0.48
2024,65,Amari Cooper,CLV,WR,1,3,NYG,17.889908256880734,22.641509433962266,39,0.31,2.21,0.71,18,0.39,3.33,1.22,21,0.24,1.24,0.27,31,0.35,2.35,0.82,8,0.13,1.63,0.29
2024,66,Chris Godwin,TB,WR,1,4,PHI,21.910112359550563,17.307692307692307,39,0.23,1.77,0.33,16,0.31,3.31,0.58,21,0.14,0.48,0.1,18,0.17,2.11,0.38,21,0.29,1.48,0.29
2024,67,Tyler Conklin,NYJ,TE,1,4,DEN,21.54696132596685,26.923076923076923,39,0.18,0.33,0.11,19,0.16,0.21,0.13,19,0.21,0.47,0.1,21,0.19,0.19,0.11,18,0.17,0.5,0.11
2024,68,Dalton Schultz,HST,TE,1,3,MIN,22.033898305084744,17.24137931034483,39,0.13,0.28,0.08,12,0.08,0.25,0.11,25,0.16,0.32,0.07,10,0.1,0.3,0.13,29,0.14,0.28,0.06
2024,69,Christian Kirk,JAX,WR,1,3,BUF,22.807017543859647,25.64102564102564,39,0.26,2.03,0.41,6,0.5,3.5,0.85,31,0.19,1.87,0.35,20,0.15,1.05,0.26,19,0.37,3.05,0.57
2024,70,Jakobi Meyers,LV,WR,1,3,CAR,23.353293413173652,25,39,0.23,1.59,0.49,5,0,0,0,33,0.27,1.88,0.58,30,0.27,2.07,0.64,9,0.11,0,0
