,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,CONCEPT,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2026,54,Ronnie Rivers,LA,RB,1,Man/Duo,100,25,5,25,0,19,3.8,0,0.02,0,1,0,0,0,0,0,60,40,2,1.4,40,2.4,63.2,0,0,-0.548,-2.7,0,0,0,0,0,0,5,100,19,0,3.8,60,1.9,1.8,1.9,1.83,0.07
2026,55,Breece Hall,NYJ,RB,1,Inside Zone,22.727272727272727,71.4,5,71.4,0,19,3.8,0,0.06,0,2,0,0,0,100,0,40,40,2.2,1.4,20,2.4,63.2,0,0,0.115,0.6,5,100,19,0,3.8,40,0,0,0,0,0,0,1.9,2.1,1.9,2.07,-0.17
2026,56,Breece Hall,NYJ,RB,1,Man/Duo,31.818181818181817,100,7,100,0,19,2.71,0,0.06,0,1,0,0,0,0,0,42.9,42.9,-13,1.29,28.6,1.43,52.6,0,0,-0.288,-2,0,0,0,0,0,0,7,100,19,0,2.71,42.9,1.9,3.6,1.9,3.56,-1.66
2026,57,Kendre Miller,NO,RB,1,Inside Zone,55.55555555555556,66.7,5,55.6,0,19,3.8,1,0.09,0,1,0,0,0,0,20,60,40,0,2.4,20,1.4,36.8,0,0,0.199,1,5,100,19,1,3.8,60,0,0,0,0,0,0,7.9,2.4,7.9,2.43,5.47
2026,58,Blake Corum,LA,RB,1,Outside Zone,30,100,3,100,0,19,6.33,0,0,0,0,0,0,0,0,0,100,0,6.9,4.67,0,1.67,26.3,0,0,0.302,0.9,3,100,19,0,6.33,100,0,0,0,0,0,0,1.9,1.2,1.9,1.24,0.66
2026,59,David Montgomery,HST,RB,1,Outside Zone,55.00000000000001,91.7,11,91.7,0,18,1.64,0,0.27,0,1,0,0,0,100,0,45.5,63.6,-16.8,0.09,72.7,1.55,94.4,2,0.18,-0.387,-4.3,11,100,18,0,1.64,45.5,0,0,0,0,0,0,1.8,5.1,1.8,5.08,-3.28
2026,60,James Cook,BUF,RB,1,Inside Zone,30.76923076923077,100,4,100,0,18,4.5,0,0.06,0,0,0,0,0,0,0,50,50,2.3,2,0,2.5,55.6,1,0.25,0.002,0,4,100,18,0,4.5,50,0,0,0,0,0,0,1.8,1.9,1.8,1.92,-0.12
2026,61,Ashton Jeanty,LV,RB,1,Counter,13.043478260869565,100,3,100,0,18,6,0,0.11,0,2,0,0,0,0,0,100,0,6.3,3.33,0,2.67,44.4,1,0.33,0.538,1.6,0,0,0,0,0,0,3,100,18,0,6,100,1.8,1.8,1.8,1.8,0
2026,62,Aaron Jones,MIN,RB,1,Man/Duo,50,60,6,60,0,17,2.83,0,0.06,0,1,0,0,0,0,0,33.3,50,-8.7,0.5,33.3,2.33,82.4,0,0,-0.325,-2,0,0,0,0,0,0,6,100,17,0,2.83,33.3,1.7,2.9,1.7,2.94,-1.24
2026,63,Saquon Barkley,PHI,RB,1,Outside Zone,40,75,6,75,0,17,2.83,0,0.03,0,1,0,0,0,0,0,50,50,-11.1,0.67,50,2.17,76.5,1,0.17,-0.259,-1.6,6,100,17,0,2.83,50,0,0,0,0,0,0,1.7,3,1.7,3.02,-1.32
