"","","","","Projection","","","","","Draft","","Passing","","","","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD"
"317","Luke Schoonmaker","TE","DAL","14","34.2","15","2.28","11","130","999.0","0","0","0","0.0","0","0","0","0.0","19","14","134","1.1"
"318","Mo Alie-Cox","TE","IND","13","34.2","15","2.28","11","57","527.6","0","0","0","0.0","0","0","0","0.0","20","14","132","1.2"
"319","Tyson Bagent","QB","CHI","10","33.3","2","16.67","13","127","999.0","64","42","444","2.7","1","9","46","0.3","0","0","0","0.0"
"320","Tanner McKee","QB","PHI","10","33.3","2","16.67","13","85","999.0","72","45","495","3.1","2","6","22","0.1","0","0","0","0.0"
"321","Konata Mumpfield","WR","LA","11","33.3","15","2.22","17","","1800.0","0","0","0","0.0","0","0","0","0.0","20","12","163","0.9"
"322","Brock Wright","TE","DET","6","33.3","15","2.22","11","104","690.8","0","0","0","0.0","0","0","0","0.0","19","15","121","1.1"
"323","Barion Brown","WR","NO","8","33.3","15","2.22","17","","1810.0","0","0","0","0.0","0","0","0","0.0","22","14","143","0.8"
"324","Devin Singletary","RB","NYG","8","33.2","10","3.32","15","159","999.0","0","0","0","0.0","0","40","149","0.9","9","7","48","0.2"
"325","Tai Felton","WR","MIN","6","33.2","15","2.21","17","237","692.7","0","0","0","0.0","0","0","0","0.0","19","13","149","1.0"
"326","Ben Sinnott","TE","WAS","7","33.1","15","2.21","11","119","999.0","0","0","0","0.0","0","0","0","0.0","18","13","125","1.2"
"327","Josh Johnson","QB","CIN","6","32.7","2","16.35","13","41","544.0","66","42","468","2.7","2","7","39","0.3","0","0","0","0.0"
"328","Joe Milton III","QB","DAL","14","32.5","2","16.24","14","129","999.0","59","38","426","2.4","2","10","57","0.4","0","0","0","0.0"
"329","Mac Jones","QB","SF","8","31.9","2","15.97","14","93","999.0","65","43","460","3.0","2","6","20","0.2","0","0","0","0.0"
"330","Tutu Atwell","WR","LA","11","31.5","14","2.25","17","304","999.0","0","0","0","0.0","0","1","5","0.1","18","10","162","0.7"
"331","Eli Stowers","TE","PHI","10","31.3","15","2.09","11","","1850.0","0","0","0","0.0","0","0","0","0.0","17","13","122","1.1"
"332","Marquise Brown","WR","PHI","10","30.7","14","2.20","17","299","999.0","0","0","0","0.0","0","0","0","0.0","16","10","165","0.7"
"333","Mitchell Evans","TE","CAR","5","30.7","15","2.04","11","200","999.0","0","0","0","0.0","0","0","0","0.0","18","13","128","0.8"
"334","Xavier Smith","WR","LA","11","30.6","14","2.19","17","145","551.0","0","0","0","0.0","0","0","0","0.0","18","12","146","0.7"
"335","Anthony Richardson","QB","IND","13","30.5","2","15.23","14","88","999.0","56","31","378","1.9","2","12","64","0.6","0","0","0","0.0"
"336","Tip Reiman","TE","ARZ","14","30.2","15","2.01","11","122","999.0","0","0","0","0.0","0","0","0","0.0","15","11","136","1.0"
"337","Jake Browning","QB","TB","10","30.1","2","15.06","14","119","999.0","64","42","453","2.9","2","6","25","0.1","0","0","0","0.0"
"338","Nate Boerkircher","TE","JAX","7","30.0","15","2.00","11","181","999.0","0","0","0","0.0","0","0","0","0.0","16","12","120","1.0"
"339","Tyrod Taylor","QB","GB","11","29.8","2","14.90","14","49","658.2","55","34","375","2.1","2","11","62","0.4","0","0","0","0.0"
"340","Matthew Hibner","TE","BLT","13","29.5","15","1.97","11","220","999.0","0","0","0","0.0","0","0","0","0.0","16","12","119","1.0"
"341","Joshua Dobbs","QB","DET","6","29.4","2","14.70","14","69","692.3","63","40","433","2.5","1","9","35","0.0","0","0","0","0.0"
"342","Mitchell Trubisky","QB","TEN","9","29.4","2","14.68","14","122","999.0","66","43","433","2.7","2","7","26","0.2","0","0","0","0.0"
"343","Nick Mullens","QB","JAX","7","29.3","2","14.65","14","51","660.0","64","42","466","2.8","3","4","13","0.2","0","0","0","0.0"
"344","Trey Lance","QB","LAC","7","29.3","2","14.64","14","112","999.0","58","34","373","1.8","2","13","71","0.3","0","0","0","0.0"
"345","Sean Tucker","RB","TB","10","29.3","14","2.09","15","74","243.9","0","0","0","0.0","0","35","147","1.2","5","4","26","0.2"
"346","John Bates","TE","WAS","7","29.2","15","1.95","11","162","999.0","0","0","0","0.0","0","0","0","0.0","16","12","111","1.0"
"347","Spencer Rattler","QB","NO","8","29.2","2","14.59","14","130","999.0","70","45","453","2.2","2","7","35","0.1","0","0","0","0.0"
"348","Zavier Scott","RB","MIN","6","29.1","13","2.24","15","131","693.0","0","0","0","0.0","0","27","109","0.5","9","7","63","0.3"
"349","Josh Whyle","TE","GB","11","29.0","15","1.94","11","107","695.5","0","0","0","0.0","0","0","0","0.0","16","12","113","1.0"
"350","Kendre Miller","RB","NO","8","29.0","10","2.90","16","64","224.8","0","0","0","0.0","0","37","150","0.7","5","4","43","0.2"
"351","Demarcus Robinson","WR","SF","8","28.9","13","2.23","17","337","999.0","0","0","0","0.0","0","0","0","0.0","15","9","152","0.8"
"352","Bam Knight","RB","ARZ","14","28.5","10","2.85","16","165","999.0","0","0","0","0.0","0","25","105","0.5","9","7","60","0.3"
"353","Reggie Virgil","WR","ARZ","14","28.1","15","1.88","17","293","999.0","0","0","0","0.0","0","0","0","0.0","18","11","126","0.7"
"354","Davis Mills","QB","HST","8","27.6","2","13.78","14","97","999.0","66","41","424","2.5","2","5","19","0.1","0","0","0","0.0"
"355","Jawhar Jordan","RB","HST","8","27.5","15","1.83","16","200","999.0","0","0","0","0.0","0","37","154","0.7","5","4","31","0.2"
"356","Jarrett Stidham","QB","DEN","10","27.5","2","13.75","14","117","999.0","59","36","387","2.1","2","9","42","0.3","0","0","0","0.0"
"357","Durham Smythe","TE","BLT","13","27.4","15","1.83","11","146","999.0","0","0","0","0.0","0","0","0","0.0","14","11","120","0.8"
"358","Nick Westbrook-Ikhine","WR","IND","13","27.3","15","1.82","17","298","999.0","0","0","0","0.0","0","0","0","0.0","18","11","118","0.8"
"359","Drew Lock","QB","SEA","11","27.3","2","13.63","14","71","692.7","62","39","438","2.3","2","5","24","0.1","0","0","0","0.0"
"360","Quinn Ewers","QB","MIA","6","27.0","2","13.52","14","76","999.0","61","40","437","2.4","2","5","18","0.1","0","0","0","0.0"
"361","Kenny Pickett","QB","CAR","5","27.0","2","13.49","14","123","999.0","62","40","402","2.4","2","6","26","0.1","0","0","0","0.0"
"362","Marlin Klein","TE","HST","8","27.0","15","1.80","11","192","999.0","0","0","0","0.0","0","0","0","0.0","18","13","92","0.8"
"363","Devin Neal","RB","NO","8","26.9","12","2.24","16","60","211.9","0","0","0","0.0","0","30","117","0.7","7","6","48","0.1"
"364","Erick All","TE","CIN","6","26.9","8","3.36","11","121","999.0","0","0","0","0.0","0","0","0","0.0","13","10","114","0.9"
"365","Bo Melton","WR","GB","11","26.8","13","2.06","17","240","695.0","0","0","0","0.0","0","5","31","0.0","18","10","95","0.7"
"366","Jimmy Horn Jr.","WR","CAR","5","26.7","14","1.91","17","","2025.0","0","0","0","0.0","0","6","38","0.0","14","9","100","0.6"
"367","Jacob Saylors","RB","DET","6","26.6","10","2.66","16","208","999.0","0","0","0","0.0","0","28","122","0.9","5","4","44","0.2"
"368","Elijah Sarratt","WR","BLT","13","26.6","10","2.66","17","83","229.2","0","0","0","0.0","0","0","0","0.0","13","9","136","0.7"
"369","Ty Simpson","QB","LA","11","26.4","2","13.21","14","33","241.8","60","37","398","2.3","2","4","27","0.1","0","0","0","0.0"
"370","Jeremy Ruckert","TE","NYJ","13","26.0","15","1.73","11","179","999.0","0","0","0","0.0","0","0","0","0.0","15","12","107","0.6"
"371","Brenen Thompson","WR","LAC","7","25.9","15","1.73","17","292","999.0","0","0","0","0.0","0","0","0","0.0","14","9","130","0.7"
"372","Adam Randall","RB","BLT","13","25.9","14","1.85","16","176","999.0","0","0","0","0.0","0","12","49","0.4","9","7","88","0.5"
"373","Mitchell Tinsley","WR","CIN","6","25.9","15","1.72","17","","2060.0","0","0","0","0.0","0","0","0","0.0","15","10","111","0.9"
"374","Will Howard","QB","PIT","9","25.7","2","12.85","15","79","999.0","60","37","394","2.2","2","6","27","0.1","0","0","0","0.0"
"375","Johnny Mundt","TE","PHI","10","25.5","15","1.70","11","38","277.0","0","0","0","0.0","0","1","4","0.0","15","12","88","0.7"
"376","Jalen Reagor","WR","MIA","6","25.2","13","1.94","17","120","442.0","0","0","0","0.0","0","0","0","0.0","15","10","124","0.5"
"377","Sam Roush","TE","CHI","10","25.2","15","1.68","11","219","999.0","0","0","0","0.0","0","0","0","0.0","16","12","91","0.8"
"378","Jalen Royals","WR","KC","5","25.0","15","1.67","17","","2085.0","0","0","0","0.0","0","0","0","0.0","14","9","111","0.8"
"379","Jarquez Hunter","RB","MIA","6","24.7","10","2.47","16","72","240.6","0","0","0","0.0","0","26","111","0.6","6","5","42","0.2"
"380","Josh Cuevas","TE","BLT","13","24.7","14","1.76","11","108","697.1","0","0","0","0.0","0","0","0","0.0","15","11","83","1.0"
"381","Kyle Allen","QB","BUF","7","24.2","2","12.09","15","57","665.6","62","38","388","2.2","2","4","13","0.1","0","0","0","0.0"
"382","Eli Heidenreich","RB","PIT","9","24.2","15","1.61","16","162","999.0","0","0","0","0.0","0","18","75","0.4","9","8","57","0.2"
"383","Tommy DeVito","QB","NE","11","24.1","2","12.04","15","128","999.0","52","33","333","1.6","1","9","43","0.3","0","0","0","0.0"
"384","Tyler Huntley","QB","BLT","13","23.3","2","11.66","15","96","999.0","45","29","294","1.3","1","11","59","0.3","0","0","0","0.0"
"385","Tyler Conklin","TE","DET","6","23.0","15","1.53","11","93","676.4","0","0","0","0.0","0","0","0","0.0","13","10","102","0.5"
"386","Darius Cooper","WR","PHI","10","22.7","14","1.62","17","275","999.0","0","0","0","0.0","0","0","0","0.0","13","9","110","0.5"
"387","Luke McCaffrey","WR","WAS","7","22.7","15","1.51","17","358","999.0","0","0","0","0.0","0","0","0","0.0","15","10","94","0.5"
"388","Seydou Traore","TE","MIA","6","22.7","15","1.51","11","88","668.6","0","0","0","0.0","0","0","0","0.0","11","8","97","0.8"
"389","Jaylin Lane","WR","WAS","7","22.6","15","1.51","17","","2140.0","0","0","0","0.0","0","0","0","0.0","13","8","108","0.6"
