"RK","Name","POS","Team","Bye","POS","ADP","FPTS","G","FPTS/G","TIER","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD","UP","DOWN","MOVE","TARGET","WIN"
"106","Kyle Pitts","TE","ATL","11","-","-","164.6","15","10.98","3","0","0","0","0","0","-","-","-","93.9","65.4","749.6","4.1","-","-","-","-","-"
"107","Alec Pierce","WR","IND","13","-","-","163.9","14","11.71","9","0","0","0","0","0","-","-","-","95.0","54.8","813.3","4.7","-","-","-","-","-"
"108","Sam LaPorta","TE","DET","6","-","-","163.6","14","11.68","3","0","0","0","0","0","-","-","-","81.3","63.2","697.4","5.1","-","-","-","-","-"
"109","Jordan Addison","WR","MIN","6","-","-","163.6","15","10.91","9","0","0","0","0","0","2.5","16.7","0.1","90.0","57.4","757.5","4.8","-","-","-","-","-"
"110","Josh Downs","WR","IND","13","-","-","160.2","15","10.68","9","0","0","0","0","0","1.4","7.0","0.0","94.0","64.5","702.6","4.2","-","-","-","-","-"
"111","Jadarian Price","RB","SEA","11","-","-","159.3","15","10.62","9","0","0","0","0","0","211.4","917.7","6.2","21.4","17.8","118.2","0.5","-","-","-","-","-"
"112","Quentin Johnston","WR","LAC","7","-","-","158.7","15","10.58","9","0","0","0","0","0","2.4","11.4","0.1","91.2","57.5","683.2","5.3","-","-","-","-","-"
"113","Harold Fannin Jr.","TE","CLV","11","-","-","158.1","15","10.54","3","0","0","0","0","0","4.4","12.0","0.2","95.6","68.0","649.7","3.8","-","-","-","-","-"
"114","Dallas Goedert","TE","PHI","10","-","-","157.1","15","10.48","3","0","0","0","0","0","-","-","-","82.4","63.1","662.3","4.7","-","-","-","-","-"
"115","Romeo Doubs","WR","NE","11","-","-","155.2","15","10.35","9","0","0","0","0","0","-","-","-","77.7","52.6","742.4","4.8","-","-","-","-","-"
"116","Fernando Mendoza","QB","LV","13","-","-","155.1","10","15.51","9","324","206","2230","13.2","7","32.7","146.4","1.3","-","-","-","-","-","-","-","-","-"
"117","Jake Ferguson","TE","DAL","14","-","-","154.5","15","10.30","4","0","0","0","0","0","-","-","-","78.9","62.1","603.6","5.4","-","-","-","-","-"
"118","Marvin Harrison Jr.","WR","ARZ","14","-","-","154.2","15","10.28","10","0","0","0","0","0","-","-","-","99.9","58.8","691.6","4.4","-","-","-","-","-"
"119","Makai Lemon","WR","PHI","10","-","-","152.8","15","10.18","9","0","0","0","0","0","-","-","-","88.4","58.7","695.4","4.2","-","-","-","-","-"
"120","Malik Nabers","WR","NYG","8","-","-","151.4","11","13.77","9","0","0","0","0","0","-","-","-","88.8","56.3","678.5","4.6","-","-","-","-","-"
"121","Mark Andrews","TE","BLT","13","-","-","151.4","15","10.09","4","0","0","0","0","0","3.8","6.1","0.2","77.4","57.1","591.0","5.7","-","-","-","-","-"
"122","Tucker Kraft","TE","GB","11","-","-","150.0","14","10.71","4","0","0","0","0","0","1.9","5.4","0.0","74.0","56.3","624.7","5.2","-","-","-","-","-"
"123","Cooper Kupp","WR","SEA","11","-","-","148.6","15","9.90","10","0","0","0","0","0","0.2","0.5","0.0","78.0","54.0","737.9","3.5","-","-","-","-","-"
"124","Brenton Strange","TE","JAX","7","-","-","148.5","15","9.90","4","0","0","0","0","0","-","-","-","78.1","59.1","636.9","4.3","-","-","-","-","-"
"125","RJ Harvey","RB","DEN","10","-","-","148.0","15","9.87","10","0","0","0","0","0","127.2","499.2","3.7","53.9","44.5","234.2","1.5","-","-","-","-","-"
"126","Michael Wilson","WR","ARZ","14","-","-","147.2","15","9.81","10","0","0","0","0","0","-","-","-","91.9","57.2","661.6","4.0","-","-","-","-","-"
"127","Chris Godwin Jr.","WR","TB","10","-","-","146.7","14","10.48","10","0","0","0","0","0","-","-","-","81.8","57.2","663.5","3.9","-","-","-","-","-"
"128","Rachaad White","RB","WAS","7","-","-","142.9","15","9.53","10","0","0","0","0","0","134.1","540.8","4.2","37.2","33.3","238.0","1.2","-","-","-","-","-"
"129","Stefon Diggs","WR","FA","","-","-","142.1","15","9.47","10","0","0","0","0","0","-","-","-","79.2","54.6","651.1","3.8","-","-","-","-","-"
"130","Jayden Higgins","WR","HST","8","-","-","141.7","15","9.45","10","0","0","0","0","0","-","-","-","83.4","53.2","645.2","4.0","-","-","-","-","-"
"131","Khalil Shakir","WR","BUF","7","-","-","141.5","15","9.44","10","0","0","0","0","0","0.7","3.9","0.0","74.9","56.1","632.8","3.7","-","-","-","-","-"
"132","Xavier Worthy","WR","KC","5","-","-","140.9","15","9.40","10","0","0","0","0","0","12.9","74.4","0.4","77.7","48.6","599.8","3.8","-","-","-","-","-"
"133","Blake Corum","RB","LA","11","-","-","140.6","15","9.38","10","0","0","0","0","0","164.6","759.7","6.3","17.5","13.8","100.1","0.6","-","-","-","-","-"
"134","Isaiah Likely","TE","NYG","8","-","-","140.2","15","9.35","4","0","0","0","0","0","-","-","-","78.7","58.3","607.1","3.6","-","-","-","-","-"
"135","Kyle Monangai","RB","CHI","10","-","-","140.0","15","9.33","10","0","0","0","0","0","155.0","668.2","4.9","27.4","20.5","184.0","0.9","-","-","-","-","-"
"136","Isiah Pacheco","RB","DET","6","-","-","139.2","15","9.28","10","0","0","0","0","0","148.3","651.2","6.0","25.2","20.9","127.8","0.8","-","-","-","-","-"
"137","Deebo Samuel Sr.","WR","FA","","-","-","139.1","15","9.27","10","0","0","0","0","0","15.3","68.6","0.5","72.3","50.1","602.2","3.2","-","-","-","-","-"
"138","Jerry Jeudy","WR","CLV","11","-","-","138.4","15","9.22","10","0","0","0","0","0","0.6","3.4","0.0","88.5","52.9","636.9","3.6","-","-","-","-","-"
"139","Ricky Pearsall","WR","SF","8","-","-","137.4","15","9.16","10","0","0","0","0","0","2.6","12.6","0.0","74.2","47.5","672.2","3.6","-","-","-","-","-"
"140","Jalen McMillan","WR","TB","10","-","-","136.9","14","9.78","10","0","0","0","0","0","2.4","13.2","0.0","70.4","44.5","638.7","4.6","-","-","-","-","-"
